Src_Player_Id,First_Deposit_Date,First_Deposit_Channel,First_Deposit_Method,First_Deposit_Amount
15714574,NULL,NULL,NULL,NULL
14675642,NULL,NULL,NULL,NULL
14656704,NULL,NULL,NULL,NULL
16849101,NULL,NULL,NULL,NULL
15781821,NULL,NULL,NULL,NULL
14843376,NULL,NULL,NULL,NULL
13033640,NULL,NULL,NULL,NULL
14509059,2019-12-20 19:32:53,Online,MC,30
15823833,NULL,NULL,NULL,NULL
15304057,NULL,NULL,NULL,NULL
13084095,NULL,NULL,NULL,NULL
18424532,NULL,NULL,NULL,NULL
18118695,NULL,NULL,NULL,NULL
16726612,NULL,NULL,NULL,NULL
17576990,NULL,NULL,NULL,NULL
14511217,2019-12-08 10:07:00,Online,VISA,85
12636041,NULL,NULL,NULL,NULL
14921857,NULL,NULL,NULL,NULL
13365245,NULL,NULL,NULL,NULL
16545041,2020-08-01 17:49:23,Retail,RetailDeposit,10
15078441,NULL,NULL,NULL,NULL
17337717,2020-10-03 13:52:53,Retail,RetailDeposit,10
20674976,2021-06-28 08:12:46,Retail,RetailDeposit,55
20767008,NULL,NULL,NULL,NULL
15702217,NULL,NULL,NULL,NULL
13499814,NULL,NULL,NULL,NULL
15241120,NULL,NULL,NULL,NULL
17453698,NULL,NULL,NULL,NULL
20366992,2021-05-29 16:47:26,Online,PaysafecardViaSC,25
14595262,NULL,NULL,NULL,NULL
12596023,NULL,NULL,NULL,NULL
13961611,NULL,NULL,NULL,NULL
16673409,NULL,NULL,NULL,NULL
14566252,NULL,NULL,NULL,NULL
14587261,NULL,NULL,NULL,NULL
17276245,NULL,NULL,NULL,NULL
17166272,NULL,NULL,NULL,NULL
15673174,NULL,NULL,NULL,NULL
20396796,2021-06-02 12:37:34,Online,PaysafecardViaSC,50
12373194,NULL,NULL,NULL,NULL
20151170,2021-05-14 09:24:21,Online,VISA,50
17464231,NULL,NULL,NULL,NULL
16284790,NULL,NULL,NULL,NULL
18244202,2020-12-09 20:42:46,Online,VISA,100
13977760,NULL,NULL,NULL,NULL
14941566,NULL,NULL,NULL,NULL
13899639,NULL,NULL,NULL,NULL
20035661,2021-04-26 18:08:01,Online,MC,25
16533399,NULL,NULL,NULL,NULL
16143048,NULL,NULL,NULL,NULL
18429780,NULL,NULL,NULL,NULL
17484176,NULL,NULL,NULL,NULL
17451579,NULL,NULL,NULL,NULL
20191650,NULL,NULL,NULL,NULL
13487441,2019-09-15 11:47:37,Online,VISA,50
17762159,NULL,NULL,NULL,NULL
16210460,2021-05-11 13:11:13,Online,PaysafecardViaSC,25
13253487,2019-07-13 00:25:08,Online,VISA,80
13125400,NULL,NULL,NULL,NULL
13847104,2019-11-07 08:17:31,Online,VISA,25
18253840,NULL,NULL,NULL,NULL
14787359,NULL,NULL,NULL,NULL
16678445,NULL,NULL,NULL,NULL
14525137,NULL,NULL,NULL,NULL
14791138,NULL,NULL,NULL,NULL
15183403,NULL,NULL,NULL,NULL
16297739,NULL,NULL,NULL,NULL
14834804,2020-01-24 21:09:33,Online,VISA,500
15362092,NULL,NULL,NULL,NULL
17790472,NULL,NULL,NULL,NULL
15004771,NULL,NULL,NULL,NULL
17523258,NULL,NULL,NULL,NULL
16410594,NULL,NULL,NULL,NULL
17092722,NULL,NULL,NULL,NULL
13376324,NULL,NULL,NULL,NULL
16325909,2020-07-25 11:14:40,Online,VISA,40
16641388,NULL,NULL,NULL,NULL
14914930,NULL,NULL,NULL,NULL
17190600,NULL,NULL,NULL,NULL
15149400,2020-03-16 11:45:24,Retail,RetailDeposit,10
13947438,NULL,NULL,NULL,NULL
14868103,2020-01-30 11:09:25,Retail,RetailDeposit,100
17705753,2020-11-01 17:08:44,Retail,RetailDeposit,40
18446334,NULL,NULL,NULL,NULL
15043445,NULL,NULL,NULL,NULL
13456121,NULL,NULL,NULL,NULL
15726281,NULL,NULL,NULL,NULL
15198472,NULL,NULL,NULL,NULL
14818075,2020-02-05 08:31:21,Online,VISA,25
13522546,NULL,NULL,NULL,NULL
13864749,NULL,NULL,NULL,NULL
13832104,NULL,NULL,NULL,NULL
14456249,NULL,NULL,NULL,NULL
13977804,NULL,NULL,NULL,NULL
14461216,NULL,NULL,NULL,NULL
19846250,NULL,NULL,NULL,NULL
17345147,NULL,NULL,NULL,NULL
17952896,NULL,NULL,NULL,NULL
15832067,2020-05-18 09:08:54,Online,VISA,50
12387178,NULL,NULL,NULL,NULL
20477611,2021-06-11 13:20:50,Online,PaysafecardViaSC,50
20181149,NULL,NULL,NULL,NULL
13370147,NULL,NULL,NULL,NULL
13231483,2019-07-06 10:22:55,Online,MC,150
16594209,NULL,NULL,NULL,NULL
14948242,NULL,NULL,NULL,NULL
16210913,NULL,NULL,NULL,NULL
19921232,2021-04-16 14:08:50,Online,PaysafecardViaSC,25
13194314,NULL,NULL,NULL,NULL
13860563,NULL,NULL,NULL,NULL
15931600,NULL,NULL,NULL,NULL
16383697,NULL,NULL,NULL,NULL
16484095,NULL,NULL,NULL,NULL
18126676,NULL,NULL,NULL,NULL
13744007,2019-10-22 18:55:43,Online,MC,50
14715501,NULL,NULL,NULL,NULL
17337993,2020-10-03 14:26:00,Online,MC,25
13959555,2019-11-23 15:10:33,Online,VISA,300
14696033,NULL,NULL,NULL,NULL
13718259,2019-10-19 08:37:36,Online,PaysafecardViaSC,25
12676089,NULL,NULL,NULL,NULL
13278671,NULL,NULL,NULL,NULL
16508694,NULL,NULL,NULL,NULL
15235887,NULL,NULL,NULL,NULL
16530521,NULL,NULL,NULL,NULL
15588779,NULL,NULL,NULL,NULL
14944509,NULL,NULL,NULL,NULL
